   10000301  7.36E-08     0.644     0.000     0.000     0.000 100000
 REAC,CROSS(mb),B. MOM,  A1,    A2,    A3, # EVENTS
  0.00000 0.00000 110.000 450.000  33.000  40.000 0.90000 2.30000
  AFD7GH,ATS7GH,ZFD7GH,ZTS7GH,RCD7GH,ZCD7H,ASL7GH,ASU7GH
          1       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1798   -0.0008    0.6161 14
   2    0.1798    0.0008    0.0283614
          2       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1791    0.0003    0.6163 14
   2   -0.1791   -0.0003    0.0281614
          3       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1771    0.0003    0.6170 14
   2   -0.1771   -0.0003    0.0275614
          4       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1795   -0.0008    0.6162 14
   2   -0.1795    0.0008    0.0282614
          5       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1803   -0.0004    0.6159 14
   2   -0.1803    0.0004    0.0285614
          6       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1763   -0.0004    0.6172 14
   2   -0.1763    0.0004    0.0272614
          7       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1800   -0.0003    0.6161 14
   2   -0.1800    0.0003    0.0284614
          8       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1796    0.0005    0.6162 14
   2    0.1796   -0.0005    0.0283614
          9       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1805   -0.0004    0.6159 14
   2   -0.1805    0.0004    0.0286614
         10       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1761    0.0006    0.6173 14
   2   -0.1761   -0.0006    0.0271614
         11       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1807    0.0005    0.6158 14
   2   -0.1807   -0.0005    0.0286614
         12       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1797   -0.0000    0.6162 14
   2   -0.1797    0.0000    0.0283614
         13       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1763   -0.0009    0.6172 14
   2   -0.1763    0.0009    0.0272614
         14       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1817    0.0006    0.6155 14
   2   -0.1817   -0.0006    0.0289614
         15       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1803    0.0008    0.6160 14
   2   -0.1803   -0.0008    0.0285614
         16       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1784    0.0002    0.6166 14
   2   -0.1784   -0.0002    0.0279614
         17       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1803    0.0007    0.6160 14
   2   -0.1803   -0.0007    0.0285614
         18       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1795    0.0008    0.6162 14
   2   -0.1795   -0.0008    0.0282614
         19       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1779   -0.0005    0.6167 14
   2   -0.1779    0.0005    0.0277614
         20       301         2    0.6444 1.000E+00 1.000E+00
